id,state,city,station,station_code,pollutant_min,pollutant_max,pollutant_avg,pollutant_id
0,Andhra_Pradesh,A0ntapur,Gulzarpet, APPCB,0,0,0,SO2
1,Andhra_Pradesh,Chittoor,Gangineni Cheruvu, APPCB,7,32,12,SO2
2,Andhra_Pradesh,Tirupati,Tirumala, APPCB,2,5,3,NH3
3,Andhra_Pradesh,Tirupati,Tirumala, APPCB,40,64,47,CO
4,Andhra_Pradesh,Tirupati,Tirumala, APPCB,9,50,34,OZONE
5,Andhra_Pradesh,Tirupati,Vaikuntapuram, APPCB,16,250,91,PM10
6,Andhra_Pradesh,Tirupati,Vaikuntapuram, APPCB,42,57,48,CO
7,Andhra_Pradesh,Vijayawada,HB Colony, APPCB,31,66,46,PM10
8,Andhra_Pradesh,Vijayawada,HB Colony, APPCB,24,24,24,CO
9,Andhra_Pradesh,Vijayawada,Rajiv Gandhi Park, APPCB,52,82,66,PM2.5
10,Andhra_Pradesh,Vijayawada,Rajiv Gandhi Park, APPCB,3,78,52,OZONE
11,Andhra_Pradesh,Visakhapat0m,GVM Corporation, APPCB,103,310,186,PM2.5
12,Assam,Guwahati,IITG, PCBA,46,330,202,PM2.5
13,Assam,Guwahati,IITG, PCBA,12,14,13,SO2
14,Assam,Guwahati,IITG, PCBA,1,18,8,OZONE
15,Assam,0gaon,Christianpatty, PCBA,45,210,87,PM2.5
16,Assam,0lbari,Bata Chowk, PCBA,39,62,49,NO2
17,Assam,Silchar,Tarapur, PCBA,1,1,1,NH3
18,Assam,Silchar,Tarapur, PCBA,27,43,32,CO
19,Assam,Sivasagar,Girls College, PCBA,1,3,2,NH3
20,Bihar,Araria,Kharahiya Basti, BSPCB,10,50,27,OZONE
21,Bihar,Arrah,New DM Office, BSPCB,105,260,170,PM10
22,Bihar,Aurangabad,Gurdeo 0gar, BSPCB,1,76,28,OZONE
23,Bihar,Bettiah,Kamal0th 0gar, BSPCB,12,18,15,SO2
24,Bihar,Bhagalpur,DM Office_Kachari Chowk, BSPCB,34,74,60,CO
25,Bihar,Bhagalpur,Mayaganj, BSPCB,10,14,12,SO2
26,Bihar,Bihar Sharif,D M Colony, BSPCB,2,2,2,NH3
27,Bihar,Gaya,Collectorate, BSPCB,50,76,58,OZONE
28,Bihar,Gaya,Kareemganj, BSPCB,30,31,30,NO2
29,Bihar,Gaya,SFTI Kusdihra, BSPCB,32,66,40,CO
30,Bihar,Gaya,SFTI Kusdihra, BSPCB,2,78,40,OZONE
31,Bihar,Hajipur,Industrial Area, BSPCB,134,473,225,PM10
32,Bihar,Katihar,Mirchaibari, BSPCB,18,25,22,OZONE
33,Bihar,Kishanganj,SDM Office_Khagra, BSPCB,38,263,95,PM2.5
34,Bihar,Kishanganj,SDM Office_Khagra, BSPCB,17,50,31,OZONE
35,Bihar,Motihari,Gandak Colony, BSPCB,86,135,105,NO2
