id,pollutant_id,Prediction_LDA,Prediction_Bayes
0,SO2,NH3,SO2
1,SO2,NO2,NO2
2,NH3,SO2,SO2
3,CO,NO2,NO2
4,OZONE,OZONE,OZONE
5,PM10,PM10,PM10
6,CO,NO2,NO2
7,PM10,CO,NO2
8,CO,NO2,NO2
9,PM2.5,CO,CO
10,OZONE,OZONE,OZONE
11,PM2.5,PM10,PM10
12,PM2.5,PM2.5,PM2.5
13,SO2,NO2,NO2
14,OZONE,NO2,NO2
15,PM2.5,PM10,PM10
16,NO2,NO2,NO2
17,NH3,NO2,NO2
18,CO,NO2,NO2
19,NH3,NO2,NO2
20,OZONE,OZONE,OZONE
21,PM10,PM10,PM10
22,OZONE,OZONE,OZONE
23,SO2,NH3,SO2
24,CO,OZONE,CO
25,SO2,NH3,SO2
26,NH3,NH3,SO2
27,OZONE,NO2,NO2
28,NO2,NH3,NO2
29,CO,NO2,NO2
30,OZONE,OZONE,OZONE
31,PM10,PM10,PM10
32,OZONE,SO2,NO2
33,PM2.5,PM10,PM10
34,OZONE,NO2,NO2
35,NO2,PM10,PM10
36,NH3,SO2,NO2
37,OZONE,NO2,NO2
38,SO2,SO2,SO2
39,CO,OZONE,OZONE
40,OZONE,OZONE,OZONE
41,PM2.5,PM10,PM10
42,OZONE,CO,CO
43,NO2,OZONE,OZONE
44,CO,PM10,PM10
45,PM2.5,PM2.5,PM2.5
46,PM10,PM10,PM10
47,NO2,PM10,PM10
48,NH3,NO2,NO2
49,CO,CO,CO
50,CO,PM2.5,PM2.5
51,OZONE,OZONE,NO2
52,PM2.5,PM2.5,PM2.5
53,NH3,SO2,SO2
54,OZONE,SO2,SO2
55,PM2.5,SO2,SO2
56,NO2,CO,CO
57,SO2,OZONE,OZONE
58,OZONE,OZONE,OZONE
59,PM2.5,PM10,PM10
60,PM10,PM10,PM10
61,CO,OZONE,OZONE
62,NO2,OZONE,OZONE
63,NO2,NH3,NO2
64,SO2,NH3,SO2
65,OZONE,NH3,SO2
66,PM2.5,NH3,NO2
67,PM2.5,PM10,PM10
68,NO2,NH3,SO2
69,NO2,CO,NO2
70,NO2,PM10,PM10
71,PM2.5,CO,CO
72,PM10,SO2,SO2
73,NO2,CO,CO
74,PM2.5,SO2,SO2
75,OZONE,OZONE,OZONE
76,PM10,PM10,PM10
77,NO2,NO2,NO2
78,SO2,SO2,SO2
79,NO2,NO2,NO2
80,NO2,CO,CO
81,NH3,NH3,SO2
82,PM10,PM2.5,PM2.5
83,NH3,NH3,NO2
84,CO,PM2.5,PM2.5
85,PM10,PM2.5,PM2.5
86,OZONE,NO2,NO2
87,PM2.5,PM10,PM10
88,NO2,NO2,NO2
89,NO2,OZONE,OZONE
90,OZONE,OZONE,OZONE
91,CO,CO,CO
92,SO2,NH3,SO2
93,PM2.5,PM2.5,PM2.5
94,CO,OZONE,OZONE
95,SO2,NH3,NO2
96,PM10,PM10,PM10
97,CO,PM10,PM10
98,PM10,PM2.5,PM2.5
99,OZONE,OZONE,OZONE
100,PM2.5,PM2.5,PM2.5
101,PM10,PM10,PM10
102,PM2.5,PM2.5,PM2.5
103,PM10,PM2.5,PM2.5
104,SO2,NH3,SO2
105,NO2,NH3,NO2
106,NH3,NH3,SO2
107,OZONE,OZONE,OZONE
108,PM10,PM10,PM10
109,NO2,NO2,NO2
110,NH3,NH3,SO2
111,SO2,NH3,SO2
112,SO2,NH3,SO2
113,PM10,NH3,SO2
114,NO2,CO,CO
115,OZONE,OZONE,OZONE
116,SO2,OZONE,OZONE
117,PM10,PM2.5,PM2.5
118,CO,CO,NO2
119,OZONE,OZONE,OZONE
120,PM2.5,PM2.5,PM2.5
121,PM10,PM2.5,PM2.5
122,NO2,PM2.5,PM2.5
123,PM10,PM2.5,PM2.5
124,PM2.5,PM2.5,PM2.5
125,NH3,NH3,SO2
126,CO,OZONE,OZONE
127,NO2,NH3,SO2
128,CO,OZONE,OZONE
129,SO2,NH3,SO2
130,OZONE,NH3,SO2
131,NO2,NH3,SO2
132,OZONE,NH3,SO2
133,PM2.5,CO,CO
134,NH3,NH3,SO2
135,OZONE,OZONE,OZONE
136,NO2,NH3,SO2
137,NO2,NH3,SO2
138,NH3,NH3,SO2
139,SO2,CO,CO
140,OZONE,NH3,NO2
141,PM10,CO,CO
142,SO2,NH3,SO2
143,OZONE,OZONE,OZONE
144,PM2.5,PM10,PM10
145,NO2,NO2,NO2
146,CO,OZONE,OZONE
147,OZONE,SO2,SO2
148,NO2,PM10,PM10
149,CO,SO2,NO2
150,OZONE,OZONE,OZONE
151,SO2,NH3,SO2
152,SO2,NH3,SO2
153,NH3,NH3,SO2
154,SO2,NH3,SO2
155,CO,OZONE,OZONE
156,OZONE,OZONE,OZONE
157,CO,CO,CO
158,PM2.5,PM2.5,PM2.5
159,PM10,PM10,PM10
160,NO2,NH3,SO2
161,NH3,NH3,SO2
162,CO,OZONE,OZONE
163,SO2,NH3,SO2
164,PM2.5,PM2.5,PM2.5
165,NO2,NH3,SO2
166,PM2.5,PM2.5,PM2.5
167,PM10,PM2.5,PM2.5
168,PM10,PM10,PM10
169,NO2,OZONE,NO2
170,SO2,NH3,SO2
171,PM10,PM10,PM10
172,SO2,OZONE,OZONE
173,OZONE,NH3,SO2
174,PM2.5,PM2.5,PM2.5
175,NO2,SO2,SO2
176,SO2,SO2,SO2
177,OZONE,SO2,NO2
178,NH3,NH3,SO2
179,SO2,NO2,NO2
180,CO,CO,CO
181,SO2,SO2,NO2
182,OZONE,SO2,NO2
183,PM2.5,PM10,PM10
184,SO2,SO2,SO2
185,OZONE,OZONE,OZONE
186,NO2,SO2,SO2
187,OZONE,NO2,NO2
188,PM2.5,PM10,PM10
189,PM10,PM10,PM10
190,PM2.5,PM10,PM10
191,NO2,SO2,SO2
192,NH3,SO2,SO2
193,PM2.5,PM2.5,PM2.5
194,OZONE,OZONE,OZONE
195,PM10,PM10,PM10
196,CO,CO,CO
197,SO2,NO2,NO2
198,OZONE,SO2,SO2
199,PM10,NH3,NO2
200,PM10,CO,CO
201,NO2,NH3,SO2
202,NH3,NH3,SO2
203,NH3,NH3,SO2
204,CO,NO2,NO2
205,SO2,NH3,SO2
206,PM2.5,PM10,PM10
207,SO2,NH3,SO2
208,PM2.5,CO,NO2
209,NO2,NH3,SO2
210,CO,NH3,NO2
211,NH3,NH3,SO2
212,NO2,NH3,SO2
213,SO2,NH3,SO2
214,NO2,NH3,SO2
215,OZONE,NH3,SO2
216,NH3,NH3,SO2
217,CO,NH3,SO2
218,PM10,NO2,NO2
219,SO2,NH3,SO2
220,NO2,NH3,SO2
221,OZONE,OZONE,OZONE
222,CO,CO,CO
223,SO2,NH3,SO2
224,CO,OZONE,OZONE
225,OZONE,OZONE,OZONE
226,CO,NO2,NO2
227,OZONE,OZONE,OZONE
