id,pollutant_id,Prediction_LDA,Prediction_Bayes
0,SO2,NH3,SO2
1,SO2,NO2,NO2
2,NH3,SO2,SO2
3,CO,NO2,NO2
6,CO,NO2,NO2
7,PM10,CO,NO2
8,CO,NO2,NO2
9,PM2.5,CO,CO
11,PM2.5,PM10,PM10
13,SO2,NO2,NO2
14,OZONE,NO2,NO2
15,PM2.5,PM10,PM10
17,NH3,NO2,NO2
18,CO,NO2,NO2
19,NH3,NO2,NO2
23,SO2,NH3,SO2
24,CO,OZONE,CO
25,SO2,NH3,SO2
27,OZONE,NO2,NO2
28,NO2,NH3,NO2
29,CO,NO2,NO2
32,OZONE,SO2,NO2
33,PM2.5,PM10,PM10
34,OZONE,NO2,NO2
35,NO2,PM10,PM10
36,NH3,SO2,NO2
37,OZONE,NO2,NO2
39,CO,OZONE,OZONE
41,PM2.5,PM10,PM10
42,OZONE,CO,CO
43,NO2,OZONE,OZONE
44,CO,PM10,PM10
47,NO2,PM10,PM10
48,NH3,NO2,NO2
50,CO,PM2.5,PM2.5
53,NH3,SO2,SO2
54,OZONE,SO2,SO2
55,PM2.5,SO2,SO2
56,NO2,CO,CO
57,SO2,OZONE,OZONE
59,PM2.5,PM10,PM10
61,CO,OZONE,OZONE
62,NO2,OZONE,OZONE
63,NO2,NH3,NO2
64,SO2,NH3,SO2
65,OZONE,NH3,SO2
66,PM2.5,NH3,NO2
67,PM2.5,PM10,PM10
68,NO2,NH3,SO2
69,NO2,CO,NO2
70,NO2,PM10,PM10
71,PM2.5,CO,CO
72,PM10,SO2,SO2
73,NO2,CO,CO
74,PM2.5,SO2,SO2
80,NO2,CO,CO
82,PM10,PM2.5,PM2.5
84,CO,PM2.5,PM2.5
85,PM10,PM2.5,PM2.5
86,OZONE,NO2,NO2
87,PM2.5,PM10,PM10
89,NO2,OZONE,OZONE
92,SO2,NH3,SO2
94,CO,OZONE,OZONE
95,SO2,NH3,NO2
97,CO,PM10,PM10
98,PM10,PM2.5,PM2.5
103,PM10,PM2.5,PM2.5
104,SO2,NH3,SO2
105,NO2,NH3,NO2
111,SO2,NH3,SO2
112,SO2,NH3,SO2
113,PM10,NH3,SO2
114,NO2,CO,CO
116,SO2,OZONE,OZONE
117,PM10,PM2.5,PM2.5
121,PM10,PM2.5,PM2.5
122,NO2,PM2.5,PM2.5
123,PM10,PM2.5,PM2.5
126,CO,OZONE,OZONE
127,NO2,NH3,SO2
128,CO,OZONE,OZONE
129,SO2,NH3,SO2
130,OZONE,NH3,SO2
131,NO2,NH3,SO2
132,OZONE,NH3,SO2
133,PM2.5,CO,CO
136,NO2,NH3,SO2
137,NO2,NH3,SO2
139,SO2,CO,CO
140,OZONE,NH3,NO2
141,PM10,CO,CO
142,SO2,NH3,SO2
144,PM2.5,PM10,PM10
146,CO,OZONE,OZONE
147,OZONE,SO2,SO2
148,NO2,PM10,PM10
149,CO,SO2,NO2
151,SO2,NH3,SO2
152,SO2,NH3,SO2
154,SO2,NH3,SO2
155,CO,OZONE,OZONE
160,NO2,NH3,SO2
162,CO,OZONE,OZONE
163,SO2,NH3,SO2
165,NO2,NH3,SO2
167,PM10,PM2.5,PM2.5
169,NO2,OZONE,NO2
170,SO2,NH3,SO2
172,SO2,OZONE,OZONE
173,OZONE,NH3,SO2
175,NO2,SO2,SO2
177,OZONE,SO2,NO2
179,SO2,NO2,NO2
182,OZONE,SO2,NO2
183,PM2.5,PM10,PM10
186,NO2,SO2,SO2
187,OZONE,NO2,NO2
188,PM2.5,PM10,PM10
190,PM2.5,PM10,PM10
191,NO2,SO2,SO2
192,NH3,SO2,SO2
197,SO2,NO2,NO2
198,OZONE,SO2,SO2
199,PM10,NH3,NO2
200,PM10,CO,CO
201,NO2,NH3,SO2
204,CO,NO2,NO2
205,SO2,NH3,SO2
206,PM2.5,PM10,PM10
207,SO2,NH3,SO2
208,PM2.5,CO,NO2
209,NO2,NH3,SO2
210,CO,NH3,NO2
212,NO2,NH3,SO2
213,SO2,NH3,SO2
214,NO2,NH3,SO2
215,OZONE,NH3,SO2
217,CO,NH3,SO2
218,PM10,NO2,NO2
219,SO2,NH3,SO2
220,NO2,NH3,SO2
223,SO2,NH3,SO2
224,CO,OZONE,OZONE
226,CO,NO2,NO2
228,PM10,NO2,NO2
229,SO2,NH3,SO2
230,CO,NO2,NO2
232,PM2.5,NO2,NO2
233,PM10,NO2,NO2
234,PM10,NO2,NO2
235,OZONE,CO,CO
236,PM10,PM2.5,PM2.5
237,CO,NO2,NO2
238,OZONE,SO2,SO2
239,PM10,NH3,SO2
240,NO2,NH3,SO2
241,CO,NO2,NO2
242,PM2.5,OZONE,OZONE
243,NO2,SO2,SO2
244,CO,OZONE,OZONE
245,NH3,SO2,SO2
246,OZONE,SO2,NO2
247,SO2,NO2,NO2
249,PM2.5,NO2,NO2
253,SO2,NH3,SO2
255,CO,NO2,NO2
257,PM2.5,NH3,SO2
258,SO2,NH3,SO2
259,OZONE,SO2,SO2
260,CO,SO2,NO2
261,PM2.5,PM10,PM10
263,NO2,CO,CO
264,NO2,OZONE,OZONE
265,SO2,NH3,SO2
266,CO,NO2,NO2
269,NO2,OZONE,CO
270,NH3,SO2,SO2
272,PM2.5,PM10,PM10
273,PM10,CO,CO
274,CO,OZONE,OZONE
277,PM2.5,PM10,PM10
278,SO2,NH3,SO2
281,CO,OZONE,NO2
283,SO2,NO2,NO2
284,NO2,OZONE,OZONE
288,NO2,NH3,SO2
289,SO2,NH3,SO2
292,NO2,CO,CO
294,CO,NO2,NO2
296,NO2,PM10,PM10
297,OZONE,SO2,NO2
298,CO,NO2,NO2
300,PM2.5,PM10,PM10
303,CO,NO2,NO2
304,PM2.5,PM10,PM10
305,PM10,PM2.5,PM2.5
306,CO,OZONE,OZONE
313,CO,NO2,NO2
314,OZONE,SO2,SO2
315,NO2,CO,CO
318,PM2.5,CO,CO
322,OZONE,SO2,SO2
323,NO2,SO2,SO2
324,PM2.5,OZONE,OZONE
325,NH3,SO2,SO2
327,OZONE,SO2,SO2
329,NH3,SO2,SO2
332,CO,PM10,PM10
334,CO,NO2,NO2
335,CO,OZONE,OZONE
336,NO2,SO2,SO2
338,NH3,SO2,SO2
339,OZONE,CO,CO
344,NO2,CO,CO
346,CO,NO2,NO2
347,NO2,SO2,SO2
348,CO,NO2,NO2
350,PM10,NH3,SO2
351,OZONE,NH3,SO2
352,NO2,SO2,SO2
353,CO,OZONE,OZONE
354,SO2,NH3,SO2
357,PM2.5,PM10,PM10
358,SO2,NH3,SO2
362,CO,NH3,NO2
363,SO2,NH3,SO2
364,NO2,NH3,SO2
365,SO2,NO2,NO2
366,NO2,OZONE,OZONE
367,SO2,CO,CO
369,NH3,SO2,SO2
371,PM10,PM2.5,PM2.5
373,PM10,PM2.5,PM2.5
374,CO,SO2,NO2
