id,state,city,station,station_code,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
3,Andhra_Pradesh,Tirupati,Tirumala, APPCB,CO,40,64,47
6,Andhra_Pradesh,Tirupati,Vaikuntapuram, APPCB,CO,42,57,48
8,Andhra_Pradesh,Vijayawada,HB Colony, APPCB,CO,24,24,24
18,Assam,Silchar,Tarapur, PCBA,CO,27,43,32
24,Bihar,Bhagalpur,DM Office_Kachari Chowk, BSPCB,CO,34,74,60
29,Bihar,Gaya,SFTI Kusdihra, BSPCB,CO,32,66,40
39,Bihar,Muzaffarpur,Buddha Colony, BSPCB,CO,2,106,33
44,Bihar,Pat0,DRM Office Da0pur, BSPCB,CO,16,167,66
49,Bihar,Pat0,Rajbansi 0gar, BSPCB,CO,73,116,98
50,Bihar,Pat0,Samanpura, BSPCB,CO,101,186,179
61,Chandigarh,Chandigarh,Sector 22, CPCC,CO,27,119,98
84,Delhi,Delhi,Ashok Vihar, DPCC,CO,66,158,155
91,Delhi,Delhi,IGI Airport (T3), IMD,CO,76,120,91
94,Delhi,Delhi,ITO, CPCB,CO,14,139,78
97,Delhi,Delhi,Lodhi Road, IMD,CO,98,119,102
118,Delhi,Delhi,Pusa, IMD,CO,86,125,99
126,Delhi,Delhi,Vivek Vihar, DPCC,CO,24,119,67
128,Gujarat,Ahmedabad,Mani0gar, GPCB,CO,11,96,46
146,Gujarat,Vapi,Phase, GPCB,CO,1,175,120
149,Gujarat,Vatva,Phase, GPCB,CO,38,40,39
155,Harya0,Ballabgarh,0thu Colony, HSPCB,CO,5,107,56
157,Harya0,Bhiwani,H.B. Colony, HSPCB,CO,72,103,91
162,Harya0,Faridabad,Sector 30, HSPCB,CO,30,140,78
180,Harya0,Kurukshetra,Sector, HSPCB,CO,36,112,69
196,Jharkhand,Dhanbad,Kalakusuma, DMC,CO,106,114,113
204,Kar0taka,Bengaluru,Jigani, KSPCB,CO,39,70,55
210,Kar0taka,Bengaluru,Sanegurava Halli, KSPCB,CO,20,38,27
217,Kar0taka,Dava0gere,Devaraj Urs Badavane, KSPCB,CO,12,24,18
222,Kar0taka,Kalaburagi,Mahatma Basaveswar Colony, KSPCB,CO,36,101,62
224,Kar0taka,Karwar,KHB Colony, KSPCB,CO,1,156,64
226,Kar0taka,Koppal,Diwator 0gar, KSPCB,CO,74,104,84
230,Kar0taka,Mangalore,Kadri, KSPCB,CO,44,54,51
237,Kar0taka,Tumakuru,Thimmalapura, KSPCB,CO,28,67,37
241,Kerala,Kochi,Vyttila, Kerala PCB,CO,48,59,53
244,Kerala,Thiruva0nthapuram,Plammoodu, Kerala PCB,CO,16,70,52
255,Madhya Pradesh,Gwalior,Phool Bagh, Mondelez Ind. Food,CO,34,68,48
260,Madhya Pradesh,Indore,Regio0l Park, IMC,CO,18,50,24
266,Madhya Pradesh,Maihar,Sahilara, KJS Cements,CO,22,55,34
274,Madhya Pradesh,Sagar,Deen Dayal 0gar, MPPCB,CO,3,129,49
281,Maharashtra,Amravati,Shivneri Colony, MPCB,CO,18,62,42
294,Maharashtra,Bhiwandi,Gokul 0gar, MPCB,CO,27,100,49
298,Maharashtra,Kolhapur,Shivaji University, MPCB,CO,12,84,38
303,Maharashtra,Malegaon,Mahesh 0gar, MPCB,CO,5,95,28
306,Maharashtra,Mumbai,Bandra Kurla Complex, IITM,CO,12,104,97
309,Maharashtra,Mumbai,Borivali East, IITM,CO,41,100,57
313,Maharashtra,Mumbai,Borivali East, MPCB,CO,2,105,30
326,Maharashtra,Mumbai,Kandivali East, MPCB,CO,63,104,85
330,Maharashtra,Mumbai,Kandivali West, BMC,CO,39,98,49
332,Maharashtra,Mumbai,Kherwadi_Bandra East, MPCB,CO,30,139,41
334,Maharashtra,Mumbai,Kurla, MPCB,CO,49,90,53
335,Maharashtra,Mumbai,Mazgaon, IITM,CO,4,66,39
346,Maharashtra,Mumbai,Sion, MPCB,CO,23,104,45
348,Maharashtra,Mumbai,Vasai West, MPCB,CO,45,76,58
353,Maharashtra,0gpur,Opp GPO Civil Lines, MPCB,CO,42,144,101
360,Maharashtra,0vi Mumbai,Kopripada, MPCB,CO,33,113,69
362,Maharashtra,0vi Mumbai,Mahape, MPCB,CO,28,57,41
372,Maharashtra,Pimpri-Chinchwad,Park Street Wakad, MPCB,CO,22,143,68
374,Maharashtra,Pune,Bhosari, IITM,CO,22,43,27
383,Maharashtra,Solapur,Ratandeep Housing Society, MPCB,CO,22,173,87
393,Meghalaya,Shillong,JN Stadium, Meghalaya PCB,CO,15,106,56
394,Meghalaya,Shillong,Lumpyngngad, Meghalaya PCB,CO,6,20,12
399,Odisha,Balasore,Kalidaspur, OSPCB,CO,46,120,107
400,Odisha,Barbil,Forest Office, OSPCB,CO,44,105,61
402,Odisha,Bhubaneswar,Lingraj Mandir, OSPCB,CO,34,94,46
408,Odisha,Cuttack,CDA Area, OSPCB,CO,35,92,56
418,Odisha,Suakati,OMC Colony, OSPCB,CO,10,15,11
423,Punjab,Amritsar,Golden Temple, PPCB,CO,2,32,17
432,Punjab,Mandi Gobindgarh,RIMT University, PPCB,CO,24,55,44
435,Rajasthan,Ajmer,Civil Lines, RSPCB,CO,16,88,37
439,Rajasthan,Banswara,Rati Talai, RSPCB,CO,43,111,72
442,Rajasthan,Baran,Bamboliya, RSPCB,CO,36,74,44
448,Rajasthan,Bikaner,MM Ground, RSPCB,CO,26,130,95
452,Rajasthan,Churu,Subash Chowk, RSPCB,CO,14,82,30
453,Rajasthan,Dungarpur,Bhoiwada, RSPCB,CO,39,83,53
454,Rajasthan,Jaipur,Mansarovar Sector, RSPCB,CO,26,132,68
458,Rajasthan,Jaipur,RIICO Sitapura, RSPCB,CO,28,126,58
465,Rajasthan,Jodhpur,Digari Kalan, RSPCB,CO,18,120,61
468,Rajasthan,Jodhpur,Jhalamand, RSPCB,CO,26,106,58
478,Rajasthan,Kota,Shri0th Puram, RSPCB,CO,18,59,37
481,Rajasthan,0gaur,Karni Colony, RSPCB,CO,38,104,67
495,Tamil0du,Chengalpattu,Crescent University, TNPCB,CO,24,29,26
509,Tamil0du,Rama0thapuram,Chalai Bazaar, TNPCB,CO,2,10,5
514,Telanga0,Hyderabad,Central University, TSPCB,CO,22,105,61
519,Telanga0,Hyderabad,IITH Kandi, TSPCB,CO,20,81,39
