,C1,C2,C3
3,1.3295185626537386e-05,0.00012601872728027952,1.1479036261326508e-05
6,1.3634624168407044e-05,0.00018478066437640635,1.6026366435123736e-07
8,7.92273721153225e-05,0.00013475269857123238,9.878520667387322e-07
18,5.047320028070699e-05,8.323429966859727e-05,1.5830796771105357e-06
24,8.200489121708806e-06,2.9308127488264315e-05,8.531878765823021e-05
29,2.408215479662118e-05,4.807241702798644e-05,4.3278340757689916e-05
39,4.491443118071966e-05,0.00027038273158611005,0.00018073924239282827
44,3.6229463522975267e-09,0.0005049310077391274,0.00025006056470028634
49,3.612157189898478e-05,0.00026056558844886086,2.687037896790434e-05
50,0.0003301074537396067,0.00017819392537993413,0.0015769353139368908
61,1.6485542947570012e-06,8.091221932636379e-05,0.0010494505779398582
84,0.0001299042313917512,1.7488335376916711e-06,0.0024389050933995814
91,3.609045363547917e-05,0.0003005329769047197,3.311156468625605e-05
94,3.616339788497039e-07,0.00035178175153095976,0.00011309593659237851
97,8.259589632846813e-05,0.0008237333150928366,5.740713537931415e-05
118,6.215115537774127e-05,0.0004533445759839335,3.559075631463961e-05
126,1.6577919417874924e-06,8.0660230624541e-05,4.663819511845832e-06
128,2.7841159055687935e-05,0.00010784087744322215,1.0211863389231535e-06
146,7.71221545270968e-06,0.0012136894548711596,0.0020949505804520345
149,3.105955342683767e-05,0.00023135612104679105,2.754157868462796e-07
155,2.176006826989152e-05,0.000263528019790126,6.482701014522104e-05
157,2.2861139811738152e-05,0.0003416519322488647,2.0161040438794602e-05
162,1.2974023861229496e-06,0.00010830904621268199,5.621145280617999e-08
180,4.115449925436393e-08,1.7608809423452352e-06,9.25220597962527e-10
196,0.00011021816356783706,0.001113162553590973,1.265488245446562e-06
204,8.334830464965752e-06,8.310445437042034e-05,7.720163720771658e-06
210,7.131658467048783e-05,4.372546083420212e-05,3.832837404424903e-08
217,0.00011251093093988405,3.04111876249496e-05,5.00392096276261e-06
222,1.5162793894802142e-06,1.3511384181612995e-06,5.099162158282287e-06
224,4.8053190205367245e-06,0.0007980537502879235,1.2558758666078584e-05
226,2.0532048303606214e-05,0.0003890058395544914,1.986710545722292e-05
230,1.1590075387351505e-05,0.00022753329936389175,8.024130087701578e-06
237,3.0267075153778752e-05,2.2668833915178858e-05,5.8616931578187545e-05
241,6.757694131024622e-06,0.0002608136081815936,1.8567049823467553e-08
244,3.06812957856894e-05,9.038186489657976e-06,0.00019495168443582863
255,1.6156884084807694e-05,5.181036606779575e-05,2.0280269709335e-07
260,6.902177364786451e-05,1.1447746031630485e-05,5.105090875238808e-05
266,4.790552916586193e-05,1.6257330303962218e-05,2.4262798321974883e-06
274,1.889061425467189e-05,0.00044882804143292146,6.392475774166849e-05
281,4.137544735222997e-05,1.629787923000274e-08,3.61981297144444e-05
294,1.0088584336998467e-05,7.682521277712427e-06,9.352711937701534e-05
298,3.9930995300131075e-05,5.063970569513104e-05,1.970142814606535e-05
303,5.281567541114524e-05,0.0001551667097326791,0.00023915596652472197
306,1.1762335252348344e-06,0.00019751068311831143,0.002258704659680746
309,1.238867267896697e-06,1.836489282741499e-05,0.00010172095902838646
313,4.8541684425652785e-05,0.00025901131138351225,0.0002590144591119578
326,1.183284251177405e-05,0.00019040165915083887,1.1646926587287424e-05
330,4.003355432709895e-06,1.616774681147109e-05,0.0002628928964538744
332,2.555219469037166e-06,6.86530510621461e-05,0.0014151833566583413
334,1.0600867990979514e-06,0.00011440903843015708,0.00021415322205628346
335,6.309297451715184e-05,6.340375362005836e-05,9.570544521919946e-05
346,1.3700875028463288e-05,2.9935019525973537e-05,0.00017300679484625616
348,3.06446169203093e-06,0.00012109137595792314,3.3814196413017987e-07
353,1.8234484463748976e-05,3.566523729747869e-05,0.00021819408232567563
360,2.2382774390800678e-07,9.745103760695629e-06,1.8964920882644709e-06
362,3.229657005414936e-05,4.204387211426827e-05,1.1022490401690814e-06
372,8.583053345830295e-08,0.0002171595318110122,4.2462102090791056e-05
374,6.395391598658788e-05,4.508512430386868e-05,1.1081911145365114e-05
383,6.277235564441129e-06,0.00046314387511771647,2.860564577608271e-07
393,1.3350036003748147e-05,0.00011452778060807606,5.265736659041346e-06
394,0.00014083140137675007,1.153765901291972e-05,2.4891885852649233e-06
399,1.596981300057181e-05,2.3629760940497058e-07,0.0008674751126044713
400,7.213593356156294e-08,2.2210944302758684e-05,0.00010180498062326564
402,8.626005203756253e-06,5.200713719809192e-06,0.0002070176907735986
408,4.833543279462074e-06,7.179661094899351e-06,1.4001722904760027e-05
418,0.0001381285447613845,4.2902376657159134e-05,1.1494832054516768e-07
423,0.00012905453421931264,1.734535849899427e-06,1.416288137328792e-05
432,3.579180389140624e-05,2.0963591517854367e-05,5.706918007167234e-05
435,3.3403747279121956e-05,3.250311046576456e-05,9.574728675140195e-05
439,5.023942395928374e-07,5.987112414177224e-06,6.672297973917478e-07
442,1.4557137362614506e-05,5.351345637049143e-05,7.350256668791822e-05
448,2.1890198340542536e-06,0.00013218533613029696,0.0006194897510929946
452,4.601723889231216e-05,2.7512295584499663e-05,0.00017036014035120629
453,5.848868975259189e-06,4.501824468093265e-05,2.7309397101349293e-05
454,1.5148168371931663e-07,0.00010975341174853366,1.58483654436246e-05
458,1.4114665493503011e-06,5.973106521415513e-05,0.00016486188983837945
465,5.343155334184837e-06,0.00014555771784968577,6.110914513669862e-07
468,5.495725325199931e-06,2.4339367469253098e-05,6.09536870351611e-06
478,4.813057619080431e-05,9.363823870442435e-07,4.8769538093225185e-06
481,2.646915406698696e-07,1.9323984936181518e-06,9.445122570884496e-08
495,7.258024326116296e-05,0.00011105713372930819,6.127236880170647e-07
509,0.00017614092613331913,1.2655683176094658e-05,1.901289287604001e-06
514,6.7427699959216825e-06,4.945125515745633e-05,1.281094101428061e-05
519,3.070814982597782e-05,5.372843737749072e-06,4.906279469512151e-05
521,0.00012502238997136788,4.7361181377731854e-05,6.948219686130236e-07
528,5.032405987566004e-09,2.097764260450705e-06,0.00014475192586806235
545,6.606094037143515e-05,2.4690827906923974e-07,2.8081720942934396e-06
552,2.3217053444481155e-05,9.891656092643007e-05,8.666104021904167e-05
557,5.215994751722095e-08,0.00018815970643084186,0.0007703427745726153
565,8.19713259102959e-06,0.0004454738495063533,0.0007659205080809884
581,4.909765433273903e-06,0.00010124340016456729,6.437592688983594e-05
584,3.215314535760294e-06,5.0840454801633516e-05,0.00033891377427176886
588,2.6230602074815166e-05,0.00024924857024299116,1.938339396958123e-07
592,3.252856299262586e-05,0.0004411409949371141,2.142901888118907e-06
596,1.6556449622462717e-05,0.00030379092706334457,0.0003074996198870736
598,3.472837029615536e-06,1.398809831584646e-05,5.658044674507857e-06
622,3.135582780562464e-05,0.000282587667714325,5.8513578707344795e-05
634,4.370630962927536e-05,2.2903894745776158e-08,0.0002443407714035302
645,2.3972383708425165e-05,6.987285260097071e-05,1.4002174487990782e-05
657,0.0002050426464126315,2.191875960663702e-05,4.033376892762907e-06
658,1.8419219933335674e-07,0.00044421907658357876,0.0018200648984885472
671,0.00015651119857551366,2.7998191956432532e-05,6.651510780645151e-06
678,2.6426126820649083e-05,0.00023356246535430922,7.285785915980993e-07
683,5.560398226009322e-05,0.0001168439153414287,1.5093344020954081e-05
688,9.425916654929667e-06,0.0003617188079360616,0.0020176712449454185
701,3.860069328838324e-05,3.4590959264889736e-05,0.0007371558780614125
707,2.1722175387784313e-06,8.103943639633488e-06,0.00020604222334833823
710,9.318231927348177e-05,4.831791746878774e-05,2.551916692562447e-05
715,5.237026830632571e-05,3.9362285227508726e-05,2.171650635672366e-05
730,9.298418939704138e-07,0.0001115869111264078,8.649080621978189e-05
740,4.3229754449119023e-07,3.0829232955180054e-05,2.0854470221169685e-07
742,5.221652345821856e-07,0.0003870740155990918,0.0007607890587864498
750,8.980624260182267e-07,1.014675321108406e-06,0.0006277410268588518
759,1.1619369029268093e-05,0.0004976482787628184,7.420975420046871e-05
763,1.0850462039094832e-08,3.568530504537484e-05,0.00011828895832630909
775,3.0050126986932794e-09,0.0005335462081150256,0.0003360415241707939
780,5.694803703599025e-05,0.000177954049307082,5.480479694531983e-07
801,2.629062296192826e-06,7.047862804035621e-05,8.612978786084838e-07
804,4.024773388496179e-08,0.00010481748427788514,0.0002031041625809816
808,1.4394636621648469e-05,6.787671113219348e-05,1.124208784899074e-05
812,3.4421459359166374e-06,1.6739419427774074e-05,0.00018608926333690064
815,1.1558434587428847e-05,0.00014331446040964857,2.1652313736283706e-05
819,9.645457711793109e-06,0.00020078842264923912,4.708129016427025e-05
822,7.562143068238569e-07,1.562255490493538e-05,0.00014816962844902928
825,1.0809717913742613e-06,1.7146513529890035e-06,1.008020301223508e-05
829,0.0002050426464126315,2.191875960663702e-05,4.033376892762907e-06
836,2.19677490403535e-05,4.5538747917978655e-06,0.00011684885298833723
839,0.00010191342897226342,8.673770486743219e-06,1.332562688901211e-07
843,0.00012357885502409702,1.7751365842012873e-06,6.991737761412132e-05
849,5.5186290536648305e-05,1.0579201242449573e-06,1.5947761369471077e-07
854,0.00012169146836861453,1.4513508206397762e-06,4.800067953141296e-06
865,1.7369104696035078e-05,9.867996405000256e-07,8.576506045320206e-06
866,1.0151365678578126e-05,0.00020800657084939691,1.6727785975967698e-05
881,0.0001183842556977144,5.281023583774474e-06,3.696127209638046e-05
884,7.542569632781044e-05,5.045314919863674e-05,9.260840581214652e-07
894,6.43050700219179e-05,1.3781107730878318e-06,6.50564988736409e-05
908,5.907927043856116e-05,0.0001009148761621178,2.3725759458656198e-07
911,2.8627242355269888e-05,8.989036404598428e-05,8.512492961852e-06
914,1.5827379645306755e-05,6.301232008927812e-05,6.558057142259891e-05
921,4.258741554628754e-06,1.92990921741948e-05,3.740844972726976e-05
951,6.20933503544805e-05,6.672530358609875e-05,1.3386533525994797e-05
957,6.326273563206736e-05,4.2923975176077024e-05,7.859642768878879e-06
987,8.449576302352211e-06,2.5716866870064076e-05,4.7951515175834374e-05
989,1.9577629713501086e-05,0.00015564486145727062,1.1099359975239214e-05
993,7.987229100625198e-05,0.0010698752348756054,2.0631239637948976e-06
1003,1.455400237995198e-06,3.490898005448135e-05,0.00015893062897883505
1013,1.8639522800369196e-06,2.8269010298528125e-06,0.00019787001402690453
1020,6.745207189583835e-06,3.97932626473538e-06,0.00015190816699705206
1040,8.283575816420441e-06,0.00010511298559174303,2.8449302579087404e-05
1055,6.421672310507877e-05,2.090743378859452e-05,3.903788463957713e-05
1067,7.645592702165421e-05,9.146673555173796e-05,1.7127945598218536e-05
1068,7.342070300797013e-05,4.0737458484218276e-05,1.4618922693264846e-05
1072,3.7719156396659975e-05,0.00026606529304265666,1.579930542615487e-05
1074,4.822994649356704e-06,3.962126752881044e-06,0.0003325439169813334
1088,4.956647111291328e-05,4.162512065141784e-05,1.5572504177335126e-07
1091,2.3828132374110232e-05,4.1498511506713785e-06,0.00011702048429430983
1093,6.976308307691368e-05,0.00024269920131548195,0.001537272597407637
1094,4.587630016156018e-05,4.966379555425312e-06,2.02252569851201e-06
1101,2.0834379917832346e-05,5.707290754363963e-05,0.00017250836938290825
1115,2.9878422927529916e-08,4.509929992866417e-05,1.650353901241471e-06
1127,1.8764923344475816e-06,6.16566876347889e-08,7.96589020945387e-06
1135,3.0592407370414027e-07,1.7662368350079782e-05,2.143054375641086e-08
1144,2.9175181533776663e-05,8.462166880374778e-05,4.376825124676748e-09
1148,5.36201986318807e-06,4.6003465283335725e-05,8.47101358219442e-06
1151,6.350590176380857e-05,9.402430175137027e-06,5.796252354201357e-05
1153,4.452309684593434e-05,0.000346877164882117,0.0005339593635181971
1187,2.9537697692797965e-06,3.981111998811903e-05,8.539486429221223e-07
1194,8.252605538978548e-05,8.068228992526043e-05,2.150459048356665e-05
1195,4.786739674224387e-05,5.441817873606353e-06,4.209243202890539e-07
1206,1.0332778522629987e-06,2.030843926798942e-05,0.00017722077872349637
1210,4.819378469446139e-05,0.00011914748502446446,0.0009306391680935933
1216,3.79395498291633e-06,4.1449670181426925e-07,5.876705698594279e-05
1217,5.766193088120781e-06,1.8338216743405304e-05,0.0001598729044232584
1222,0.0002050426464126315,2.191875960663702e-05,4.033376892762907e-06
1254,5.83989992919419e-10,1.8242799295929965e-06,9.303244206909753e-05
1268,3.8887833979022386e-05,0.00029414486330974865,0.0004998422643765223
1273,1.654031939422885e-05,9.138640892523097e-05,0.0005472424262245771
1280,5.511047301078778e-06,9.172011928269993e-06,6.340512809450678e-05
1287,6.28634651578171e-05,1.0497079761994839e-06,5.835955756018319e-05
1307,0.00014589949705428855,5.42417121344456e-06,7.954431417066448e-06
1320,6.657414404326206e-05,0.0001484851465800817,2.4750852843253147e-05
1327,5.655205751694563e-05,5.5246267447163014e-05,3.6925380137713463e-06
1336,4.1764754269701394e-05,7.0916198187898325e-06,2.093571535655404e-06
1343,7.415119128514444e-05,8.510762506174552e-05,6.783238270097579e-06
1346,7.731143414152537e-08,0.0004649905009645018,8.967534541973874e-05
1349,1.1891555002705535e-06,4.3972081831419264e-05,2.7710311216218497e-07
1351,2.318938377426031e-05,0.0001751970654767699,3.441247420825824e-05
1355,8.862704789322016e-05,1.8370964105742772e-05,1.3530863797787482e-05
1362,6.231977279889147e-08,2.029738421048848e-06,5.8388644357628116e-06
1364,1.0568488073905081e-05,4.103704237594838e-05,0.00031689700973671226
1366,2.031630686269261e-05,0.0002628907378009477,6.039120244232717e-06
1369,4.160982166657907e-05,5.308028709648128e-05,2.22771686216902e-05
1377,2.004870598475951e-05,6.154098315680786e-05,2.222988892783766e-05
1378,2.0696240683699157e-05,0.00010143270297944401,1.0361978669088914e-05
1381,2.1040648797021172e-05,5.708940736431186e-05,9.374164804163082e-05
1387,5.591337121268173e-05,0.0005951287726543567,2.2233291214740773e-05
1389,3.4830754410937595e-07,0.00015835175261559402,4.877555617246525e-06
1401,1.104458320548998e-05,4.626505771250812e-05,9.250296969844237e-05
1407,7.601248234022192e-06,7.794571071443986e-05,0.00015012306978136005
1408,2.2403736204542364e-06,3.588925867409965e-05,3.161263653664719e-05
1412,1.6917142760842753e-05,9.523186884521041e-05,8.962979605782949e-06
1415,3.3797820346961667e-06,4.658229256239335e-06,2.685277950648547e-05
1420,2.665590431856431e-08,3.861534535701309e-06,7.085427419957546e-06
1425,1.6947789058927487e-06,5.923700352878544e-05,0.00012074220299814442
1430,2.1043907225353487e-06,0.0001722460030616119,1.0131846632237063e-08
1440,4.8552845826398266e-05,0.0001009149868794699,0.000142566898502519
1442,6.908136421450711e-07,5.205454669667156e-05,1.612044991243844e-05
1448,7.944224846128453e-06,5.403719465082512e-05,8.805269953185764e-06
1454,0.00010087431681367262,5.361923260633678e-06,8.508391728369927e-05
1459,6.550243116488237e-05,0.00012044081801913829,6.298896798997816e-07
1464,4.864117423603877e-07,0.00022503789248573062,9.865174751543585e-06
1468,2.8053545574450387e-05,5.712955935897727e-05,1.0360713045420017e-05
1469,1.8343846433787542e-05,0.00014152309147906074,3.850701591699409e-06
1477,5.977647461606373e-05,0.000534794522619771,5.554193876128087e-06
1479,9.699526036594532e-05,0.0007986358441698416,7.935061913692454e-05
1480,8.132724118086178e-05,0.00010310966518809713,1.7522299204236035e-06
1486,4.0130047060591444e-05,8.81339304486785e-06,0.0001972791160530736
1488,8.158162712766992e-07,0.00013806978022685686,8.164233258014582e-06
1491,0.0001583357820216215,2.8552438890993346e-05,2.382643073353914e-06
1494,7.813901894501654e-05,0.00011312535698633189,3.0201828248174887e-06
1507,4.6504998994103993e-05,2.1124469883283023e-05,1.944720480362735e-05
1509,2.891968358656933e-05,0.00017460328593685794,9.291471169580444e-06
1514,8.854171328793988e-05,1.6560000674144236e-06,8.790252870824485e-06
1522,7.75547241524406e-05,0.00012593375302913907,6.573044850420567e-09
1529,0.00013877418451029876,4.24380740442504e-06,3.8632447534155065e-05
1534,4.6990782726971626e-05,0.0001802746574394905,3.29014838808421e-06
1536,3.4876123213881397e-06,0.0003976250370068838,7.750648179216659e-06
1539,2.617249087408207e-05,0.00014122109695107794,6.038949977315246e-05
1550,9.739031678916824e-05,7.921129637620355e-06,1.4676658096906129e-05
1562,4.3507081059229846e-05,5.157234870965311e-05,7.016816628262854e-06
1575,3.471445774644213e-05,1.3817048842563354e-05,1.0248895425272347e-05
