,C1,C2,C3
3,0.589326932258005,0.4061877167302395,0.004485351011755306
6,0.5036329394803716,0.4963148767860659,5.218373356250852e-05
8,0.8898477156197393,0.11005447928605536,9.780509420526446e-05
18,0.8927050050503648,0.10704817570139288,0.0002468192482424327
24,0.7398656070877864,0.19227860738124228,0.06785578553097142
29,0.8613292104045589,0.12502578901975087,0.013645000575690264
39,0.6787854778271668,0.297136089174491,0.02407843299834219
44,9.307626942296586e-05,0.9432762932623718,0.05663063046820511
49,0.6531254487351066,0.3425917011021431,0.004282850162750167
50,0.9247590677578661,0.03629910992673298,0.03894182231540107
61,0.09822635986483297,0.3505651350332405,0.5512085051019265
84,0.857280038451007,0.0008392236233611028,0.1418807379256319
91,0.6197287832297423,0.3752591349228516,0.005012081847406057
94,0.013424308209285954,0.9495674195210816,0.037008272269632506
97,0.5775915932857824,0.41886959551271474,0.003538811201502854
118,0.6512728726406236,0.3454395186401008,0.0032876087192757423
126,0.21916314556628205,0.7754017441600053,0.005435110273712715
128,0.7800410519168667,0.21970673694128848,0.0002522111418448572
146,0.06739438048280226,0.7712264640673592,0.16137915544983866
149,0.6486244250662316,0.35132487398969653,5.070094407186401e-05
155,0.5244119899128176,0.4618159954570326,0.013772014630149884
157,0.4774433381683733,0.5188450203212686,0.00371164151035813
162,0.1414263631724425,0.8585196224202195,5.401440733810172e-05
180,0.24322009117291737,0.7567317077722902,4.820105479245908e-05
196,0.576533180910059,0.423408466736549,5.835235339193842e-05
204,0.5769683463110419,0.41832067812364365,0.004710975565314443
210,0.9573150567061858,0.042680407911804025,4.5353820101674715e-06
217,0.9803471318924448,0.01926852001510739,0.0003843480924477616
222,0.9137083379928636,0.0592049491632388,0.027086712843897708
224,0.07633878693317585,0.9219024842959713,0.0017587287708528574
226,0.4190717056902456,0.5773537574180967,0.0035745368916576784
230,0.4109064899742759,0.5865857624174415,0.002507747608282563
237,0.933242144401375,0.050825643012822025,0.015932212585802973
241,0.26270842168782194,0.7372852155236187,6.362788559389154e-06
244,0.9281319082720196,0.01988140706705503,0.0519866846609253
255,0.8108397322943599,0.1890705495653169,8.971814032327134e-05
260,0.981758497003642,0.011840453947201934,0.006401049049156086
266,0.9754922012359855,0.02407227869498706,0.00043552006902751624
274,0.3626458058262804,0.6265364976392979,0.010817696534421606
281,0.9923187175891327,2.842296560580505e-05,0.007652859445261421
294,0.8794338420090608,0.04869748473943582,0.07186867325150335
298,0.9119376103402285,0.08409612376776443,0.003966265892007087
303,0.797735922270643,0.17042161454787194,0.03184246318148513
306,0.033180812080609086,0.4051481514891959,0.561671036430195
309,0.35692222545175956,0.38473972055331085,0.25833805399492954
313,0.6968453564654309,0.27037722847354967,0.03277741506101941
326,0.458979700494603,0.5370378997181502,0.003982399787246808
330,0.5340337806397156,0.15682810406720424,0.3091381152930801
332,0.1276178523568148,0.24932904873180287,0.6230530989113824
334,0.09408574422945704,0.7383674566594721,0.16754679911107087
335,0.9204324829732606,0.06725982256578522,0.012307694460954156
346,0.7872840899710659,0.12508134113322006,0.08763456889571401
348,0.2581094986367097,0.7416394410967205,0.00025106026656978225
353,0.8014690214882007,0.11399037508052517,0.08454060343127416
360,0.23581411021485227,0.7465727804817444,0.017613109303403346
362,0.9132729119610192,0.08645232834251701,0.00027475969646370666
372,0.005281519432062316,0.9716856302899081,0.0230328502780297
374,0.9498574699275939,0.04869163806525095,0.0014508920071552094
383,0.15709696331496037,0.842839929291374,6.310739366563799e-05
